Employer_State,Visa_Count_India,Visa_Count_China
CALIFORNIA,30045,8450
TEXAS,17858,910
NEW JERSEY,11745,695
NEW YORK,7493,1661
WASHINGTON,6811,2419
ILLINOIS,5775,777
MASSACHUSETTS,4834,637
MICHIGAN,4787,344
PENNSYLVANIA,4375,435
VIRGINIA,3698,332
GEORGIA,3323,227
FLORIDA,2220,231
NORTH CAROLINA,2002,362
OHIO,1870,230
MARYLAND,1313,179
MISSOURI,1099,95
CONNECTICUT,1066,213
MINNESOTA,1048,95
INDIANA,921,157
ARIZONA,910,88
WISCONSIN,907,171
COLORADO,659,126
TENNESSEE,619,57
KENTUCKY,572,27
ARKANSAS,453,62
KANSAS,388,41
DELAWARE,365,55
NEBRASKA,356,33
IOWA,347,53
RHODE ISLAND,310,26
UTAH,291,62
OREGON,214,55
LOUISIANA,213,31
SOUTH CAROLINA,210,57
DISTRICT OF COLUMBIA,183,91
NEW HAMPSHIRE,171,16
VERMONT,159,11
ALABAMA,149,31
OKLAHOMA,141,21
NEVADA,127,33
IDAHO,124,32
MISSISSIPPI,79,16
SOUTH DAKOTA,71,26
NEW MEXICO,66,10
MAINE,58,9
WEST VIRGINIA,50,9
NORTH DAKOTA,47,9
HAWAII,11,18
ALASKA,10,1
MONTANA,7,4
WYOMING,7,1
PUERTO RICO,4,1
GUAM,3,1
NORTHERN MARIANA ISLANDS,1,1
