id,value
CALIFORNIA,30045
TEXAS,17858
NEW JERSEY,11745
NEW YORK,7493
WASHINGTON,6811
ILLINOIS,5775
MASSACHUSETTS,4834
MICHIGAN,4787
PENNSYLVANIA,4375
VIRGINIA,3698
GEORGIA,3323
FLORIDA,2220
NORTH CAROLINA,2002
OHIO,1870
MARYLAND,1313
MISSOURI,1099
CONNECTICUT,1066
MINNESOTA,1048
INDIANA,921
ARIZONA,910
WISCONSIN,907
COLORADO,659
TENNESSEE,619
KENTUCKY,572
ARKANSAS,453
KANSAS,388
DELAWARE,365
NEBRASKA,356
IOWA,347
RHODE ISLAND,310
UTAH,291
OREGON,214
LOUISIANA,213
SOUTH CAROLINA,210
DISTRICT OF COLUMBIA,183
NEW HAMPSHIRE,171
VERMONT,159
ALABAMA,149
OKLAHOMA,141
NEVADA,127
IDAHO,124
MISSISSIPPI,79
SOUTH DAKOTA,71
NEW MEXICO,66
MAINE,58
WEST VIRGINIA,50
NORTH DAKOTA,47
HAWAII,11
ALASKA,10
MONTANA,7
WYOMING,7
PUERTO RICO,4
GUAM,3
NORTHERN MARIANA ISLANDS,1
